"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1932",2646,"RT @StollmeyerEU: Ahem... @EPA &amp; @EPAScottPruitt can't even handle Harvey...

Let alone Harvey AND Irma. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>

#HurricaneIrma #HurricaneHarvey…",FALSE,0,NA,"2017-09-04 22:38:59",FALSE,NA,904836214750142464,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Kerro_",474,TRUE,FALSE,NA,NA,"Texas","en","http://pbs.twimg.com/profile_images/906507582688305152/WyWO2mAH_normal.jpg"
"1933",2647,"RT @billboard: Drake donates $200,000 to #HurricaneHarvey relief efforts https://t.co/9atTVuu20J https://t.co/cWYVNFrVhs",FALSE,0,NA,"2017-09-04 22:38:58",FALSE,NA,904836212774580224,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selenaslovable",137,TRUE,FALSE,NA,NA,"Serbia","en","http://pbs.twimg.com/profile_images/908097848717320195/pooDve9J_normal.jpg"
"1934",2649,"RT @businessinsider: $20/gallon of gas, $99/case of water — #HurricaneHarvey price-gouging reports are emerging https://t.co/d1LYHq8qIc htt…",FALSE,0,NA,"2017-09-04 22:38:55",FALSE,NA,904836198719520768,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mbrinkerhoff",58,TRUE,FALSE,NA,NA,"DC <U+2708> CA <U+2708> UT <U+2708> TX","en","http://pbs.twimg.com/profile_images/792899590395600896/Nf6sj5Dz_normal.jpg"
"1935",2650,"#HurricaneHarvey #Flood victim needs to revive his family &amp; belongings. Help Brad. https://t.co/P3GwOdtz57
#FloodVictim #gofundme $Donate",FALSE,0,NA,"2017-09-04 22:38:54",FALSE,NA,904836194546188288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdvertsLibrary",0,FALSE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/640949358771335168/8XhRVKU8_normal.png"
"1936",2653,"RT @SalArmyHouston: @KPRC2 #SalvationArmy Response teams distributing cleaning kits to Houstonians impacted by #HurricaneHarvey #HereForHou…",FALSE,0,NA,"2017-09-04 22:38:47",FALSE,NA,904836165945188352,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","johnsonll",22,TRUE,FALSE,NA,NA,"US","en","http://pbs.twimg.com/profile_images/72981898/GPN-2000-001138_earth_thumbnail_normal.jpg"
"1937",2654,"RT @StollmeyerEU: Ahem... @EPA &amp; @EPAScottPruitt can't even handle Harvey...

Let alone Harvey AND Irma. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>

#HurricaneIrma #HurricaneHarvey…",FALSE,0,NA,"2017-09-04 22:38:46",FALSE,NA,904836161977237504,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PowerGirl_2017",474,TRUE,FALSE,NA,NA,"GeeksResist Headquarters","en","http://pbs.twimg.com/profile_images/901722073529065474/TpfO9v_N_normal.jpg"
"1938",2656,"RT @billboard: Zendaya, Mark Hoppus &amp; MusiCares pitch in for #HurricaneHarvey relief efforts https://t.co/IGCk9U5ENM https://t.co/ZhSTkBQgbg",FALSE,0,NA,"2017-09-04 22:38:46",FALSE,NA,904836160010293248,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selenaslovable",42,TRUE,FALSE,NA,NA,"Serbia","en","http://pbs.twimg.com/profile_images/908097848717320195/pooDve9J_normal.jpg"
"1939",2657,"JUST IN: Death toll from #HurricaneHarvey rises in #Houston area
Harris Co – 30
Montgomery Co – 5
Fort Bend Co – 2
Galveston Co – 5",FALSE,121,NA,"2017-09-04 22:38:41",FALSE,NA,904836138472497152,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abc13houston",186,FALSE,FALSE,NA,NA,"Houston, TX","en","http://pbs.twimg.com/profile_images/750184527146852352/a-GUE4Ob_normal.jpg"
"1940",2658,"@ltgrusselhonore GPS data #Harveyflood flexed Earth's crust, #Houston down~2 cm! #HurricaneHarvey #txflood https://t.co/zjot9XdWhQ @Geo_GIF",FALSE,0,"ltgrusselhonore","2017-09-04 22:38:39",FALSE,NA,904836133690814464,28817015,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Blubdha",0,FALSE,FALSE,NA,NA,"unceded territory Coast Salish x<U+02B7>m<U+0259><U+03B8>k'<U+0313>w<U+0259>ym (Musqueam) Skwxwu'´7mesh (Squamish) Stó:lo &   S<U+0259>'li'lw<U+0259>ta<U+0294>/S<U+0259>lilwittulh<U+0313> (Tsleil- Waututh)","en","http://pbs.twimg.com/profile_images/434577773063987200/knpB0nfu_normal.jpeg"
"1941",2659,"RT @carlosjenkins21: Harvey roars toward Texas as Category 4 hurricane https://t.co/HDEfgGKcUw #HurricaneHarvey #texas #CorpusChristi  #Uni…",FALSE,0,NA,"2017-09-04 22:38:39",FALSE,NA,904836130285076480,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeffrey74749980",1,TRUE,FALSE,NA,NA,"Arizona, USA","en","http://pbs.twimg.com/profile_images/640719103418765313/hMIM0tNp_normal.jpg"
