"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"2800","RT @chuuzus: How is listening to a talented successful black woman’s music threatening your masculinity? LMAOOOOOOOOOOOOOOOOO https://t.co/…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253441372160,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","5H__OT4",8355,TRUE,FALSE,NA,NA,"Bay Area, CA","en","http://pbs.twimg.com/profile_images/914004458094202886/aKcwY4GY_normal.jpg"
"2801","@sandiescandy9 @batshake1 Definitely you, he's never a dear <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",FALSE,2,"sandiescandy9","2017-09-29 23:59:49",FALSE,913915866848391168,913916253433139200,719724070112272384,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","needleshunt",0,FALSE,FALSE,NA,NA,"some Shire, middle England.","en","http://pbs.twimg.com/profile_images/701493427117096962/1u1futJV_normal.jpg"
"2802","RT @TEDTalks: ""A society will not be free if the women of that society are not free."" @manal_alsharif https://t.co/ARNgfms4aY",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253420605440,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nivdev",178,TRUE,FALSE,NA,NA,"Toronto","en","http://pbs.twimg.com/profile_images/580430581047156737/D_E5a8pE_normal.jpg"
"2803","RT @ConanOBrien: I'm taking the stage at Stand Up for Heroes on Nov 7, but you can help #Give2Veterans now. @Stand4Heroes gets a dollar for…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253407981568,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AemonCaar",3102,TRUE,FALSE,NA,NA,"Sweden","sv","http://pbs.twimg.com/profile_images/835245137429151744/D_Qzrgtb_normal.jpg"
"2804","RT @diegoescosteguy: Eduardo Cunha, exclusivo à ÉPOCA: ""Tenho um acordo de confidencialidade com a PGR. Irei cumpri-lo. Mas a verdade virá…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253391253504,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AmeliaAOliveira",59,TRUE,FALSE,NA,NA,"Amazônia, Pará, Brasil","pt","http://pbs.twimg.com/profile_images/806679664844357632/qc0PBeTX_normal.jpg"
"2805","Me ha gustado un vídeo de @YouTube (https://t.co/iCEdMQgr2R - REACCIONANDO A FAILS DE CONDUCTORES).",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253374468096,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","luiscebada50",0,FALSE,FALSE,NA,NA,"Chiclana( Cadiz )","es","http://pbs.twimg.com/profile_images/806253863279984640/yrBK0oJK_normal.jpg"
"2806","RT @memeprovider: <U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+28C0><U+28C0><U+28C0><U+2840>
<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2803><U+2819><U+2809><U+2819><U+2837><U+28BB><U+28F4><U+28E4><U+2840>
<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2840><U+2804><U+2800><U+2820><U+2884><U+2840><U+2800><U+2800><U+2800><U+2800><U+2808><U+283A><U+28FB><U+28E2>
<U+2800><U+2800><U+2800><U+2800><U+2800><U+284E><U+2800><U+2880><U+2844><U+2800><U+2800><U+2808><U+2806><U+2800><U+2800><U+2800><U+2800><U+2800><U+2818><U+2817><U+2806>
<U+2800><U+2800><U+2800><U+2800><U+2880><U+2807><U+2800><U+2800><U+2800><U+2800><U+2800><U+2880><U+2816><U+2809><U+2800><U+2800><U+2809><U+2811><U+28A2>
<U+2800><U+2880><U+2824><U+2824><U+288C><U+286E><U+28D0><U+2824><U+2824><U+2864><U+2814><U+28B9><U+2800><U+2800><U+2800><U+2834><U+2800><U+2800><U+2800><U+2847>
<U+285C>…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253370245120,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stackly55Jala",36003,TRUE,FALSE,NA,NA,"sumwhere sleep","en","http://pbs.twimg.com/profile_images/878425237901234181/ab6x4UTB_normal.jpg"
"2807","""Last Word Live"" - Is the Faction Rally Fun? Iron Banner Returning Soon!!!: https://t.co/eaKE1B1uGW via @YouTube",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253307379712,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Skarrow9",0,FALSE,FALSE,NA,NA,"Ishtar Sink, Venus","en","http://pbs.twimg.com/profile_images/736990903404003328/0EXGuxy7_normal.jpg"
"2808","Todos faranduleando con la marcha y hace un año discriminaban a todos los homosexuales, que rostro",FALSE,1,NA,"2017-09-29 23:59:49",FALSE,NA,913916253294784512,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2891891cap",1,FALSE,FALSE,NA,NA,"República Oriental de Peñarol","es","http://pbs.twimg.com/profile_images/899899478379048961/Ucmk-dMF_normal.jpg"
"2809","RT @leticialemee: Você que compra animais, da uma olhadinha nesse resgate que a Luisa Mell fez... https://t.co/UAikRPepWt",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253290598400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bruna03Mo",15313,TRUE,FALSE,NA,NA,"Otacílio Costa, Brasil","pt","http://pbs.twimg.com/profile_images/913547747952939013/cUYORmqZ_normal.jpg"
"2810","Frustration builds if you try to force your solution to a work... More for Leo https://t.co/DFsTkk6y2j",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253282037760,NA,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>","DANNAnacue",0,FALSE,FALSE,NA,NA,"MNL","en","http://pbs.twimg.com/profile_images/511907940706418689/2SuCyKIs_normal.jpeg"
"2811","RT @soymiltoner: Créanle a su mamá cuando les dice que una amiga suya es falsa, porque con el tiempo verán que sí.",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253277949952,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Naelyn1",156,TRUE,FALSE,NA,NA,"Caracas, Venezuela","es","http://pbs.twimg.com/profile_images/909056242311626752/N1_czEPK_normal.jpg"
"2812","Mi hermano se fue a comer a la casa de una ""AMIGA"" y me dejo sola ami en casa, Ok.",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253273804800,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rocio2034",0,FALSE,FALSE,NA,NA,"Córdoba, Argentina","es","http://pbs.twimg.com/profile_images/911078034022612992/CFlDepGu_normal.jpg"
"2813","@rothko_fan @GrizzCubReb @GaryParrishCBS @GottliebShow What you are arguing for is a minor league for NBA/NFL",FALSE,0,"rothko_fan","2017-09-29 23:59:49",FALSE,913909316301852672,913916253261119488,1857988441,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reeeebels818",0,FALSE,FALSE,NA,NA,"LA","en","http://pbs.twimg.com/profile_images/714686366572015616/vhTnJEzM_normal.jpg"
"2814","RT @ElinaShaukat: Daewoo sucks they still don’t have touch pads.Such a shame cause the newer companies like Faisal Movers have progressed s…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253261021184,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pickooo",5,TRUE,FALSE,NA,NA,"New Delhi, India","en","http://pbs.twimg.com/profile_images/913922237886996480/XilUIgP2_normal.jpg"
"2815","@BouArio A explorar!",FALSE,0,"BouArio","2017-09-29 23:59:49",FALSE,913784196778401792,913916253248610304,2301834042,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alemolina24",0,FALSE,FALSE,NA,NA,"Iberoamérica","es","http://pbs.twimg.com/profile_images/818607148586463233/NNKC4Vjq_normal.jpg"
"2816","RT @_Aphmau_: Oh no. I don't condone ever going to someone's house. That's a big ""Please don't do that"" @~@;
Public places are fine! https:…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253215055872,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FanboyMess",160,TRUE,FALSE,NA,NA,"<U+2764>Shipping Land<U+2764>","en","http://pbs.twimg.com/profile_images/910973505252061184/uX7sCT6f_normal.jpg"
"2817","RT @FarjatMarian: Feliz dia a mis farjes hermosas <U+2665><U+FE0F>si pensaron q me iba a olvidar JAMAS! Siempre las voy a llevar in my heart mamertas<ed><U+00A0><U+00BD><ed><U+00B2><U+0098>q t…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253215043584,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaliiZuziOk",159,TRUE,FALSE,NA,NA,"Buenos Aires, Argentina ","es","http://pbs.twimg.com/profile_images/913218441770946565/YSxTilHd_normal.jpg"
"2818","RT @frasesdebebadas: puxou a cintura o bicho pega",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253206695936,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","natthy_silveira",1521,TRUE,FALSE,NA,NA,"Palhoça, Brasil","pt","http://pbs.twimg.com/profile_images/896891950237966336/meYgegAS_normal.jpg"
"2819","RT @ChukaUmunna: Boris used public resources to launch a eurosceptic think tank at the Foreign Office, in breach of Ministerial Code. https…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253202472960,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LEdwardsShea",2939,TRUE,FALSE,NA,NA,"Sleaford, Lincolnshire","en","http://pbs.twimg.com/profile_images/864877146019442689/y-Sm9r8j_normal.jpg"
"2820","RT @ProjetoooHelp: SÓ DE IMAGINAR O NIALL FALANDO QUE AMA O BRASIL, APRENDENDO A CANTAR FUNK, NOIS TÁ COMO? 
#NiallComeToBrazil https://t.c…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253198307328,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JuhLovato5",480,TRUE,FALSE,NA,NA,"Rio de Janeiro, Brasil","pt","http://pbs.twimg.com/profile_images/871857344946294789/0pick9UY_normal.jpg"
"2821","RT @TheDemocrats: The GOP tax plan is designed for rich people, by rich people. To say otherwise is a lie to American taxpayers. https://t.…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253189877760,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RiverSong64",1243,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/911088975921651712/W4ARRPJH_normal.jpg"
"2822","RT @tsm560: Not a single account has lost sleep over your repetitive mock twitterciding.",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253181321216,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smhbrb",37,TRUE,FALSE,NA,NA,"15 Yemen Road, Yemen","en","http://pbs.twimg.com/profile_images/893992270894182401/eVQ2F-mI_normal.jpg"
"2823","@VickyDavilaH @Edo_Pimentel Se pronunció así cuando Uribe extraditó a sus buenos muchachos!",FALSE,0,"VickyDavilaH","2017-09-29 23:59:49",FALSE,913589298028580864,913916253152169984,242730842,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ausuco",0,FALSE,FALSE,NA,NA,"Envigado","en","http://pbs.twimg.com/profile_images/749243057837670400/y0mJAPGv_normal.jpg"
"2824","<U+304B><U+308F><U+3044><U+30FC><U+30FC><U+30FC><U+30FC><U+3063><U+3066><U+5F7C><U+6C0F><U+306B><U+8A00><U+3063><U+305F><U+3089><U+305F><U+3053><U+306E><U+8DB3><U+3063><U+3066><U+8A00><U+308F><U+308C><U+305F> https://t.co/dRdVea0BNm",FALSE,1,NA,"2017-09-29 23:59:49",FALSE,NA,913916253152043008,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__a_g_o__",1,FALSE,FALSE,NA,NA,"<U+6771><U+6FC3><U+7D05><U+9B54><U+90F7>","ja","http://pbs.twimg.com/profile_images/859118126650331136/4Rn4KFvR_normal.jpg"
"2825","She needs a foster home
XO https://t.co/uRuPGjm3Vd",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253143740416,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MsMarinaBlack",0,FALSE,FALSE,NA,NA,"Toronto","en","http://pbs.twimg.com/profile_images/638981245/Selects_-19_normal.jpg"
"2826","RT @ProjectDogwalk: #PaintSeptember #watercolour version of Ted's Breakfast. He eats a lot!! https://t.co/MH0xinE3z0",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253143625728,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HippieTrek1",5,TRUE,FALSE,NA,NA,"North America ","en","http://pbs.twimg.com/profile_images/836632760274018304/Yz44hH0S_normal.jpg"
"2827","I liked a @YouTube video https://t.co/583EwUxjHI Bored Lord - Draw It Down",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253139607552,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jtnimoy",0,FALSE,FALSE,NA,NA,"Oakland, CA","en","http://pbs.twimg.com/profile_images/911866529506983937/xK3ob7hP_normal.jpg"
"2828","RT @HEROTlC: Esse japonês pedindo beijo de 100 homens e conseguindo, é a melhor coisa que vc verá hoje  https://t.co/ZLi1knx5vs",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253106049024,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frealuvkai",3351,TRUE,FALSE,NA,NA,"Bangotx <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>","pt","http://pbs.twimg.com/profile_images/913554246259396608/rrvmTVGW_normal.jpg"
"2829","Y si venís un ratito a acostarte al lado mío, a contarme de tus quilombos, de tus cosas,no importa de lo que sea, con tal que estés conmigo.",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253097611264,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Caren3c",0,FALSE,FALSE,NA,NA,"mercedes,Buenos aires <ed><U+00A0><U+00BC><ed><U+00BC><U+0087>","es","http://pbs.twimg.com/profile_images/913733283426562048/_RsiT5pN_normal.jpg"
"2830","Mds, eu ri demais com a nair no aulão kkkkkkk",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253076643840,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nayratrajano",0,FALSE,FALSE,NA,NA,"pvh","pt","http://pbs.twimg.com/profile_images/913439882227445760/gM2WxPUG_normal.jpg"
"2831","From the @nytimes, a look at what’s driving @YETICoolers’ popularity all around the U.S. https://t.co/BDRUwByt3z",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253076520960,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UOSportsProduct",0,FALSE,FALSE,NA,NA,"Portland, OR","en","http://pbs.twimg.com/profile_images/662817652323168256/zrn-lojU_normal.jpg"
