"","number","city","state","longi","latti"
"129",1,"PFLUGERVILLE","TX",-97.6222665,30.4548451
"130",1,"REDWATER","TX",-94.2543607,33.3581802
"131",1,"RIOGRANDECITY","TX",-98.8203046,26.3797874
"132",1,"ROCKWALL","TX",-96.4597089,32.9312336
"133",1,"ROSENBERG","TX",-95.8085623,29.5571825
"134",1,"SANDIA","TX",-97.8798634,28.0213648
"135",1,"SEGUIN","TX",-97.9647269,29.5688411
"136",1,"SOUTHHOUSTON","TX",-95.2354902,29.663008
"137",1,"SOUTHLAKE","TX",-97.1341783,32.9412363
"138",1,"SWEENY","TX",-95.6985608,29.0388615
"139",1,"TAYLOR","TX",-83.2696509,42.240872
"140",1,"VIDOR","TX",-94.0154541,30.1316001
"141",1,"WHARTON","TX",-75.1961946,39.951859
"142",1,"WHITEOAK","TX",-81.7644495,30.7545173
"143",1,"WICHITAFALLS","TX",-98.4933873,33.9137085
"144",1,"WYLIE","TX",-96.5388789,33.0151201
"145",1,"GONZALES","LA",-90.9200987,30.2385294
"146",1,"HOLDEN","LA",-71.8634062,42.3517585
"147",1,"LITTLEBANGLADESH","LA",-118.2968774,34.0690781
"148",1,"METAIRIE","LA",-90.1528519,29.9840922
"149",1,"PONCHATOULA","LA",-90.4414762,30.4388041
"150",1,"SWARTZ","LA",-91.9851307,32.5687521
"151",1,"BRAINTREE","MA",-71.0040013,42.2079017
"152",1,"DANVERS","MA",-70.932122,42.5750009
"153",1,"FALLRIVER","MA",-71.1550451,41.7014912
"154",1,"HOLDEN","MA",-71.8634062,42.3517585
"155",1,"LOWELL","MA",-122.4833234,37.7306091
"156",1,"METHUEN","MA",-71.1908924,42.7262016
"157",1,"NEEDHAM","MA",-71.2377548,42.2809285
"158",1,"NORWOOD","MA",-71.1989695,42.1943909
"159",1,"PEABODY","MA",-70.9286609,42.5278731
"160",1,"PITTSFIELD","MA",-73.2453824,42.4500845
"161",1,"PLYMOUTH","MA",-70.6672621,41.9584457
"162",1,"SOMERVILLE","MA",-71.0994968,42.3875968
"163",1,"WATERTOWN","MA",-71.1828321,42.3709299
"164",1,"CARSONCITY","NV",-119.7674034,39.1637984
"165",1,"SPARKS","NV",-119.7526886,39.5349112
"166",1,"SUNRISEMANOR","NV",-115.0730563,36.2110819
